zone_id,MSE,MAE,R2
1,5377536569.2866125,55940.942993795135,0.7356059982433086
2,24558198765.39523,119714.15814153383,0.7651188051822991
3,6885496518.208898,64269.77283179652,0.7034840315155663
4,241722120345.9628,375198.9238199994,0.8040818237955586
5,159445274452.84833,292027.48925654584,0.7406575485278177
6,72192262803.42894,208516.65547567417,0.7040859345595294
7,90092827171.20422,232360.6879257271,0.7169000760007975
8,50371871820.813835,167650.74427944515,0.7677641484635767
9,7694769955.593975,68340.52883385107,0.7284635363520366
10,4128427840.225508,48494.977529542506,0.7725942081982675
11,136788.94320748252,278.04605453706637,0.747552610038604
12,13084987727.705359,86387.02097111374,0.724657752204845
13,242845504.27541426,11891.352227181997,0.715029280638018
14,12893398.181786224,2767.28354863396,0.7438160275478982
15,3374837870.243328,35265.86752237654,0.1445214980979712
16,209550709.80770302,10811.62247262331,0.7497716600212525
17,109462295369.24193,256787.18020189067,0.704556377194747
18,1209430071.939678,26757.353540254167,0.753542079576256
19,17603914273.603573,93220.46647332073,0.1805726161563429
20,443404312.03066266,15819.723582074865,0.8008915836518508
